iter	Passed	Remaining
1174	2804	1968
1175	2806	1966
1176	2808	1964
1177	2811	1961
1178	2813	1959
1179	2815	1956
1180	2817	1954
1181	2819	1951
1182	2822	1949
1183	2824	1946
1184	2826	1943
1185	2828	1941
1186	2830	1938
1187	2832	1936
1188	2835	1933
1189	2837	1931
1190	2839	1928
1191	2841	1926
1192	2843	1923
1193	2845	1921
1194	2847	1918
1195	2849	1915
1196	2851	1913
1197	2854	1910
1198	2856	1908
1199	2858	1905
1200	2860	1903
1201	2862	1900
1202	2864	1897
1203	2866	1895
1204	2868	1892
1205	2871	1890
1206	2873	1887
1207	2875	1885
1208	2877	1882
1209	2879	1879
1210	2881	1877
1211	2883	1874
1212	2885	1872
1213	2887	1869
1214	2889	1867
1215	2891	1864
1216	2894	1862
1217	2896	1859
1218	2898	1856
1219	2900	1854
1220	2902	1851
1221	2904	1849
1222	2906	1846
1223	2908	1844
1224	2910	1841
1225	2912	1838
1226	2915	1836
1227	2917	1834
1228	2919	1831
1229	2922	1829
1230	2924	1826
1231	2926	1824
1232	2929	1822
1233	2931	1819
1234	2933	1817
1235	2935	1814
1236	2938	1812
1237	2940	1810
1238	2943	1807
1239	2945	1805
1240	2948	1803
1241	2950	1800
1242	2953	1798
1243	2955	1796
1244	2958	1794
1245	2961	1791
1246	2963	1789
1247	2965	1787
1248	2968	1784
1249	2970	1782
1250	2973	1780
1251	2975	1777
1252	2977	1775
1253	2979	1772
1254	2982	1770
1255	2984	1767
1256	2986	1765
1257	2988	1762
1258	2991	1760
1259	2993	1758
1260	2995	1755
1261	2998	1753
1262	3000	1750
1263	3002	1748
1264	3005	1746
1265	3007	1743
1266	3009	1741
1267	3011	1738
1268	3013	1735
1269	3015	1733
1270	3018	1731
1271	3020	1728
1272	3022	1726
1273	3024	1723
1274	3026	1721
1275	3028	1718
1276	3030	1716
1277	3033	1713
1278	3035	1710
1279	3037	1708
1280	3039	1705
1281	3041	1703
1282	3043	1700
1283	3045	1698
1284	3047	1695
1285	3049	1693
1286	3051	1690
1287	3053	1688
1288	3055	1685
1289	3057	1682
1290	3059	1680
1291	3061	1677
1292	3063	1675
1293	3065	1672
1294	3068	1670
1295	3070	1667
1296	3072	1665
1297	3074	1662
1298	3076	1660
1299	3078	1657
1300	3081	1655
1301	3083	1652
1302	3085	1650
1303	3087	1647
1304	3089	1645
1305	3091	1642
1306	3092	1639
1307	3095	1637
1308	3097	1634
1309	3099	1632
1310	3101	1629
1311	3103	1627
1312	3105	1624
1313	3107	1622
1314	3109	1619
1315	3111	1617
1316	3113	1614
1317	3115	1612
1318	3118	1609
1319	3120	1607
1320	3122	1605
1321	3125	1602
1322	3127	1600
1323	3129	1597
1324	3131	1595
1325	3133	1592
1326	3136	1590
1327	3139	1588
1328	3142	1586
1329	3145	1584
1330	3147	1582
1331	3149	1579
1332	3152	1577
1333	3154	1575
1334	3157	1572
1335	3159	1570
1336	3162	1567
1337	3163	1565
1338	3166	1563
1339	3168	1560
1340	3171	1558
1341	3173	1555
1342	3175	1553
1343	3178	1551
1344	3180	1548
1345	3182	1546
1346	3184	1543
1347	3186	1541
1348	3189	1538
1349	3191	1536
1350	3194	1534
1351	3196	1531
1352	3198	1529
1353	3200	1527
1354	3202	1524
1355	3205	1522
1356	3207	1519
1357	3209	1517
1358	3211	1514
1359	3213	1512
1360	3215	1509
1361	3217	1507
1362	3220	1504
1363	3222	1502
1364	3224	1500
1365	3226	1497
1366	3228	1495
1367	3230	1492
1368	3232	1489
1369	3234	1487
1370	3236	1485
1371	3238	1482
1372	3241	1480
1373	3243	1477
1374	3245	1475
1375	3247	1472
1376	3249	1470
1377	3251	1467
1378	3253	1465
1379	3255	1462
1380	3257	1460
1381	3259	1457
1382	3261	1455
1383	3264	1452
1384	3266	1450
1385	3268	1447
1386	3270	1445
1387	3273	1443
1388	3275	1440
1389	3277	1438
1390	3279	1435
1391	3281	1433
1392	3283	1430
1393	3285	1428
1394	3288	1426
1395	3290	1423
1396	3293	1421
1397	3296	1419
1398	3298	1417
1399	3301	1414
1400	3304	1412
1401	3306	1410
1402	3309	1408
1403	3311	1405
1404	3313	1403
1405	3316	1401
1406	3319	1398
1407	3321	1396
1408	3323	1394
1409	3326	1391
1410	3328	1389
1411	3331	1387
1412	3333	1384
1413	3335	1382
1414	3338	1380
1415	3340	1377
1416	3343	1375
1417	3345	1373
1418	3347	1370
1419	3349	1368
1420	3352	1365
1421	3355	1363
1422	3357	1361
1423	3359	1358
1424	3362	1356
1425	3364	1354
1426	3367	1352
1427	3369	1349
1428	3372	1347
1429	3374	1345
1430	3377	1342
1431	3379	1340
1432	3381	1338
1433	3384	1335
1434	3386	1333
1435	3388	1331
1436	3391	1328
